10000 3
-8047 -1518 -5591 
-1936 6227 3006 
1800 -3305 -9655 
6144 6228 887 
-3166 582 -9688 
-8731 2366 2400 
2756 -776 -4005 
-2362 3014 2943 
-994 5182 -7880 
-3355 -1123 -3023 
-837 6514 -7635 
4284 -560 -6443 
-6397 -6688 6954 
-9870 -9468 8349 
5148 3541 2225 
-1877 5216 -1140 
-3126 290 -4508 
1503 -1559 2919 
2517 9814 4678 
-6196 159 -5868 
-8725 -1630 -4204 
-3060 -6906 7710 
-8338 -8879 6936 
-2305 -6092 -3095 
6875 -2726 5016 
5013 -6916 1573 
2951 -9311 -1193 
-1518 7390 -760 
-6101 6173 4588 
7215 8216 5938 
4454 3555 4540 
4726 -2521 817 
-8229 -7837 -8720 
-2395 2137 116 
3674 -5230 -1296 
9070 182 1398 
-1191 -6318 -4047 
-811 -9762 1732 
-5001 -541 -5074 
3172 3501 7019 
3085 -7617 9647 
5977 -9712 -2948 
-2635 6528 694 
832 5248 1140 
-3347 -5962 -6495 
-6569 -4444 2138 
-6200 4404 -716 
-7317 7164 -9108 
-633 -7162 8601 
-7705 -1227 3636 
8957 -99 -7269 
-2496 -9219 -2913 
-8241 4035 -6470 
-9096 -1404 -517 
-5401 9398 -579 
273 4614 9094 
5483 6871 9192 
-1127 6385 -3028 
4749 6618 2412 
4854 -4705 1398 
-2608 -537 6799 
-6449 -8667 -4564 
4483 -5351 2694 
7769 461 7872 
6872 630 -3816 
8690 4780 -3800 
2181 9925 7908 
-4556 8768 -3341 
-399 551 2763 
6168 -3729 2298 
-5989 9255 -857 
-9996 7414 5606 
-1460 8806 -833 
-2555 -4061 -9795 
9860 1277 -6796 
-9768 -4346 -379 
-8671 -3068 -5869 
4230 -6305 2575 
9726 8602 -7362 
1414 9995 4586 
8727 -180 5737 
8019 9217 -5173 
-9713 -1463 4760 
3326 -1895 9010 
813 9958 9867 
2812 -3416 2901 
6196 -5320 -6951 
-9049 6192 -8536 
4398 6299 -9898 
-140 3682 -9140 
-9143 -7927 3649 
3534 -1041 696 
-5882 9140 424 
6058 -4982 -684 
